code_cnuc;uc_name;monitoring_prodes;prodes_2016;prodes_2015;prodes_2014;prodes_2013;prodes_2012
cnuc;uc;prodes;2016;2015;2014;2013;2012
0000.00.0001;APA Anhatomirim;No;;;;;
0000.00.1521;APA Bacia Hidrografica do Rio Paraiba do Sul;No;;;;;
0000.00.0007;APA Barra do Rio Mamanguape;No;;;;;
0000.00.0020;APA Carste da Lagoa Santa;No;;;;;
0000.00.0002;APA Cavernas do Peruacu;No;;;;;
0000.00.0008;APA Chapada do Araripe;No;;;;;
0000.00.1912;APA Costa das Algas;No;;;;;
0000.00.0009;APA Costa dos Corais;No;;;;;
0000.00.0003;APA da Bacia do Rio Descoberto;No;;;;;
0000.00.0004;APA da Bacia do Rio Sao Bartolomeu;No;;;;;
0000.00.0005;APA da Bacia do Rio Sao Joao  Mico_Leao_Dourado;No;;;;;
0000.00.0006;APA da Baleia Franca;No;;;;;
0000.00.0025;APA das Ilhas e Varzeas do Rio Parana;No;;;;;
0000.00.0028;APA das Nascentes do Rio Vermelho;No;;;;;
0000.00.0013;APA de Cairucu;No;;;;;
0000.00.0014;APA de Cananeia_Iguape_Peruibe;No;;;;;
0000.00.0015;APA de Fernando de Noronha_Rocas_Sao Pedro_e_Sao Paulo;No;;;;;
0000.00.0016;APA de Guapi_Mirim;No;;;;;
0000.00.0017;APA de Guaraquecaba;No;;;;;
0000.00.0010;APA de Petropolis;No;;;;;
0000.00.0018;APA de Piacabucu;No;;;;;
0000.00.0019;APA Delta do Parnaiba;No;;;;;
0000.00.0022;APA do Igarape Gelado;Yes;0,1;;;9,9;
0000.00.0023;APA do Planalto Central;No;;;;;
0000.00.0268;APA do Tapajos;Yes;3.144,00;3.437,90;2.843,10;3.170,20;2.267,60
0000.00.3407;APA dos Campos de Manicore;Yes;11,6;;;;
0000.00.0021;APA Ibirapuita;No;;;;;
0000.00.0024;APA Meandros do Araguaia;Yes;7,9;2,5;;1,2;10,6
0000.00.0027;APA Morro da Pedreira;No;;;;;
0000.00.0029;APA Serra da Ibiapaba;No;;;;;
0000.00.0011;APA Serra da Mantiqueira;No;;;;;
0000.00.1683;APA Serra da Meruoca;No;;;;;
0000.00.0012;APA Serra da Tabatinga;No;;;;;
0000.00.0030;ARIE Buriti de Vassununga;No;;;;;
0000.00.0031;ARIE Capetinga_Taquara;No;;;;;
0000.00.0032;ARIE Cerrado Pe_de_Gigante;No;;;;;
0000.00.0035;ARIE Floresta da Cicuta;No;;;;;
0000.00.0036;ARIE Ilha do Ameixal;No;;;;;
0000.00.0037;ARIE Ilhas da Queimada Pequena e Queimada Grande;No;;;;;
0000.00.0038;ARIE Javari_Buriti;No;;;;;
0000.00.0039;ARIE Manguezais da Foz do Rio Mamanguape;No;;;;;
0000.00.0040;ARIE Mata de Santa Genebra;No;;;;;
0000.00.0041;ARIE Matao de Cosmopolis;No;;;;;
0000.00.0043;ARIE Projeto Dinamica Biologica de Fragmentos Florestais;Yes;;;;;
0000.00.0044;ARIE Seringal Nova Esperanca;Yes;78,4;89,4;137;31,4;236
0000.00.0045;ARIE Serra da Abelha e Rio da Prata;No;;;;;
0000.00.3131;ESEC Alto Maues;No;;;;;
0000.00.0263;ESEC da Guanabara;No;;;;;
0000.00.0261;ESEC da Mata Preta;No;;;;;
0000.00.0075;ESEC da Serra das Araras;No;;;;;
0000.00.0047;ESEC da Terra do Meio;Yes;853,3;307,2;124,6;57,5;406,8
0000.00.0048;ESEC de Aiuaba;No;;;;;
0000.00.0050;ESEC de Aracuri_Esmeralda;No;;;;;
0000.00.0051;ESEC de Caracarai;Yes;34,8;;32,5;;
0000.00.0052;ESEC de Carijos;No;;;;;
0000.00.0053;ESEC de Cunia;Yes;8,6;;;16,7;50,3
0000.00.0054;ESEC de Guaraquecaba;No;;;;;
0000.00.0055;ESEC de Ique;Yes;;;;23,8;
0000.00.0056;ESEC de Jutai_Solimoes;Yes;;;;;
0000.00.0057;ESEC de Maraca;Yes;;;;;
0000.00.0058;ESEC de Maraca Jipioca;Yes;;;;;
0000.00.0059;ESEC de Murici;No;;;;;
0000.00.0061;ESEC de Pirapitinga;No;;;;;
0000.00.0062;ESEC de Taiama;No;;;;;
0000.00.0063;ESEC de Tamoios;No;;;;;
0000.00.0065;ESEC de Urucui_Una;No;;;;;
0000.00.0066;ESEC do Castanhao;No;;;;;
0000.00.0067;ESEC do Jari;Yes;;;;;
0000.00.0069;ESEC do Serido;No;;;;;
0000.00.0070;ESEC do Taim;No;;;;;
0000.00.0071;ESEC dos Tupiniquins;No;;;;;
0000.00.0072;ESEC Juami_Japura;Yes;;;;;
0000.00.0073;ESEC Mico_Leao_Preto;No;;;;;
0000.00.0060;ESEC Niquia;Yes;;;;;
0000.00.0074;ESEC Raso da Catarina;No;;;;;
0000.00.0068;ESEC Rio Acre;No;;;;;
0000.00.0076;ESEC Serra Geral do Tocantins;No;;;;;
0000.00.0064;ESEC Tupinambas;No;;;;;
0000.00.0128;FLONA da Mata Grande;No;;;;;
0000.00.0132;FLONA da Restinga de Cabedelo;No;;;;;
0000.00.0082;FLONA de Acu;No;;;;;
0000.00.0083;FLONA de Altamira;Yes;685,2;37,4;2.612,30;2.469,60;5.064,30
0000.00.0084;FLONA de Anaua;Yes;;;;;
0000.00.0077;FLONA de Assungui;No;;;;;
0000.00.0085;FLONA de Balata_Tufari;Yes;32,5;7;48;15;17,4
0000.00.0086;FLONA de Brasilia;No;;;;;
0000.00.0078;FLONA de Cacador;No;;;;;
0000.00.0087;FLONA de Canela;No;;;;;
0000.00.0079;FLONA de Capao Bonito;No;;;;;
0000.00.0088;FLONA de Carajas;Yes;73,6;137,6;108,5;19,9;142,5
0000.00.0089;FLONA de Caxiuana;Yes;17,8;;25,8;8,2;26,6
0000.00.0080;FLONA de Chapeco;No;;;;;
0000.00.0081;FLONA de Contendas do Sincora;No;;;;;
0000.00.0090;FLONA de Cristopolis;No;;;;;
0000.00.0091;FLONA de Goytacazes;No;;;;;
0000.00.0092;FLONA de Humaita;Yes;;;;;
0000.00.0093;FLONA de Ibirama;No;;;;;
0000.00.0094;FLONA de Ipanema;No;;;;;
0000.00.0125;FLONA de Irati;No;;;;;
0000.00.0095;FLONA de Itaituba I;Yes;46,6;34,1;;36,3;0,6
0000.00.0096;FLONA de Itaituba II;Yes;394,4;284,1;281,4;416,1;818,4
0000.00.0097;FLONA de Jacunda;Yes;16,7;;5,9;;
0000.00.0098;FLONA de Lorena;No;;;;;
0000.00.0099;FLONA de Mulata;Yes;2,4;;9,4;0,7;7,8
0000.00.1605;FLONA de Negreiros;No;;;;;
0000.00.0100;FLONA de Nisia Floresta;No;;;;;
0000.00.0101;FLONA de Pacotuba;No;;;;;
0000.00.0102;FLONA de Palmares;No;;;;;
0000.00.0103;FLONA de Paraopeba;No;;;;;
